Channel Parameters
StreamOrder
10,1,  'Bw     HLINK   ChSSlp   MannN   CEmb   PSize   FShade   SAlbedo   CCloud'
1,     1.6,    0.02,    0.03,    0.09,    0.5,    50,    0.5,    0.5,    0.5 
2,     2.4,    0.02,    0.03,    0.07,    0.5,    50,    0.5,    0.5,    0.5
3,     3.5,    0.02,    0.03,    0.06,    0.5,    50,    0.5,    0.5,    0.5
4,     5.3,    0.03,    0.04,    0.05,    0.5,    50,    0.5,    0.5,    0.5
5,     7.4,    0.03,    0.04,    0.04,    0.5,    50,    0.5,    0.5,    0.5
6,     11.,    0.03,    0.04,    0.03,    0.5,    50,    0.5,    0.5,    0.5
7,     14.,    0.03,    0.04,    0.03,    0.5,    50,    0.5,    0.5,    0.5
8,     16.,    0.10,    0.04,    0.02,    0.5,    50,    0.5,    0.5,    0.5
9,     26.,    0.30,    0.05,    0.02,    0.5,    50,    0.5,    0.5,    0.5
10,    110.,    0.30,    0.10,    0.02,    0.5,    50,    0.5,    0.5,    0.5
