 Current Time, Timeslice Update Time, Weight Update Time, Gage Lookback Seconds, Gage ID, Current Persistence Weight Index, Current Persistence Weight, Inflow, Storage, Water Elevation, Gage Discharge, Persisted Outflow, Levelpool Outflow, Weighted Outflow
                 300,               86400,               86400,                   0,            23432415,                  13,        0.00000,       91.27196, 30277332.00000,        9.73913,       -1.00000,        0.00000,        0.77953,        0.77953
                 600,               86400,               86400,                   0,            23432415,                  13,        0.00000,       91.73940, 30304618.00000,        9.74094,       -1.00000,        0.00000,        0.78348,        0.78348
                 900,               86400,               86400,                   0,            23432415,                  13,        0.00000,       92.15904, 30332030.00000,        9.74275,       -1.00000,        0.00000,        0.78747,        0.78747
                1200,               86400,               86400,                   0,            23432415,                  13,        0.00000,       92.15180, 30359438.00000,        9.74457,       -1.00000,        0.00000,        0.79149,        0.79149
                1500,               86400,               86400,                   0,            23432415,                  13,        0.00000,       91.84663, 30386754.00000,        9.74638,       -1.00000,        0.00000,        0.79553,        0.79553
                1800,               86400,               86400,                   0,            23432415,                  13,        0.00000,       91.38554, 30413930.00000,        9.74818,       -1.00000,        0.00000,        0.79957,        0.79957
                2100,               86400,               86400,                   0,            23432415,                  13,        0.00000,       90.86131, 30440948.00000,        9.74997,       -1.00000,        0.00000,        0.80361,        0.80361
                2400,               86400,               86400,                   0,            23432415,                  13,        0.00000,       90.32736, 30467804.00000,        9.75175,       -1.00000,        0.00000,        0.80767,        0.80767
                2700,               86400,               86400,                   0,            23432415,                  13,        0.00000,       89.81273, 30494504.00000,        9.75352,       -1.00000,        0.00000,        0.81172,        0.81172
                3000,               86400,               86400,                   0,            23432415,                  13,        0.00000,       89.33250, 30521060.00000,        9.75528,       -1.00000,        0.00000,        0.81578,        0.81578
                3300,               86400,               86400,                   0,            23432415,                  13,        0.00000,       88.89427, 30547482.00000,        9.75703,       -1.00000,        0.00000,        0.81984,        0.81984
                3600,               86400,               86400,                   0,            23432415,                  13,        0.00000,       88.50250, 30573786.00000,        9.75877,       -1.00000,        0.00000,        0.82390,        0.82390
                3900,               86400,               86400,                   0,            23432415,                  13,        0.00000,       88.16228, 30599986.00000,        9.76051,       -1.00000,        0.00000,        0.82798,        0.82798
                4200,               86400,               86400,                   0,            23432415,                  13,        0.00000,       87.41539, 30625962.00000,        9.76223,       -1.00000,        0.00000,        0.83205,        0.83205
                4500,               86400,               86400,                   0,            23432415,                  13,        0.00000,       86.80043, 30651752.00000,        9.76394,       -1.00000,        0.00000,        0.83611,        0.83611
                4800,               86400,               86400,                   0,            23432415,                  13,        0.00000,       86.03979, 30677312.00000,        9.76563,       -1.00000,        0.00000,        0.84016,        0.84016
                5100,               86400,               86400,                   0,            23432415,                  13,        0.00000,       85.38490, 30702674.00000,        9.76731,       -1.00000,        0.00000,        0.84419,        0.84419
                5400,               86400,               86400,                   0,            23432415,                  13,        0.00000,       85.33451, 30728020.00000,        9.76899,       -1.00000,        0.00000,        0.84825,        0.84825
                5700,               86400,               86400,                   0,            23432415,                  13,        0.00000,       86.84274, 30753818.00000,        9.77070,       -1.00000,        0.00000,        0.85241,        0.85241
                6000,               86400,               86400,                   0,            23432415,                  13,        0.00000,       91.60840, 30781044.00000,        9.77250,       -1.00000,        0.00000,        0.85682,        0.85682
                6300,               86400,               86400,                   0,            23432415,                  13,        0.00000,      101.81398, 30811330.00000,        9.77451,       -1.00000,        0.00000,        0.86175,        0.86175
                6600,               86400,               86400,                   0,            23432415,                  13,        0.00000,      118.85916, 30846728.00000,        9.77685,       -1.00000,        0.00000,        0.86756,        0.86756
                6900,               86400,               86400,                   0,            23432415,                  13,        0.00000,      143.99232, 30889664.00000,        9.77970,       -1.00000,        0.00000,        0.87466,        0.87466
                7200,               86400,               86400,                   0,            23432415,                  13,        0.00000,      177.73550, 30942720.00000,        9.78321,       -1.00000,        0.00000,        0.88352,        0.88352
                7500,               86400,               86400,                   0,            23432415,                  13,        0.00000,      219.23480, 31008222.00000,        9.78755,       -1.00000,        0.00000,        0.89459,        0.89459
                7800,               86400,               86400,                   0,            23432415,                  13,        0.00000,      267.22351, 31088116.00000,        9.79284,       -1.00000,        0.00000,        0.90827,        0.90827
                8100,               86400,               86400,                   0,            23432415,                  13,        0.00000,      319.90402, 31183810.00000,        9.79918,       -1.00000,        0.00000,        0.92493,        0.92493
                8400,               86400,               86400,                   0,            23432415,                  13,        0.00000,      374.54324, 31295890.00000,        9.80661,       -1.00000,        0.00000,        0.94481,        0.94481
                8700,               86400,               86400,                   0,            23432415,                  13,        0.00000,      428.86066, 31424258.00000,        9.81511,       -1.00000,        0.00000,        0.96806,        0.96806
                9000,               86400,               86400,                   0,            23432415,                  13,        0.00000,      480.92096, 31568236.00000,        9.82465,       -1.00000,        0.00000,        0.99472,        0.99472
                9300,               86400,               86400,                   0,            23432415,                  13,        0.00000,      529.23584, 31726700.00000,        9.83515,       -1.00000,        0.00000,        1.02477,        1.02477
                9600,               86400,               86400,                   0,            23432415,                  13,        0.00000,      572.77673, 31898216.00000,        9.84651,       -1.00000,        0.00000,        1.05810,        1.05810
                9900,               86400,               86400,                   0,            23432415,                  13,        0.00000,      610.93237, 32081168.00000,        9.85863,       -1.00000,        0.00000,        1.09455,        1.09455
               10200,               86400,               86400,                   0,            23432415,                  13,        0.00000,      643.43890, 32273860.00000,        9.87140,       -1.00000,        0.00000,        1.13394,        1.13394
               10500,               86400,               86400,                   0,            23432415,                  13,        0.00000,      670.28516, 32474592.00000,        9.88470,       -1.00000,        0.00000,        1.17600,        1.17600
