Variable Name,Long Name,Description,Units,IO_ConfigOutputs_0,IO_ConfigOutputs_1,IO_ConfigOutputs_2,IO_ConfigOutputs_3,IO_ConfigOutputs_4,IO_ConfigOutputs_5,IO_ConfigOutputs_6,Min,Max,Scale,Offset,Fill
time,valid output time,Valid output time,minutes since 1970-01-01 00:00:00 UTC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A
reference_time,model initialization time,Model initialization time,minutes since 1970-01-01 00:00:00 UTC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A
x,x coordinate of projection,x coordinate (in native projection),native projection units,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A
y,y coordinate of projection,x coordinate (in native projection),native projection units,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A
IVGTYP,Dominant vegetation category,Dominant vegetation category,category,Yes,No,No,No,No,No,No,0,100,1,0,-9999
ISLTYP,Dominant soil category,Dominant soil category,category,Yes,No,No,No,No,No,No,0,100,1,0,-9999
FVEG,Green Vegetation Fraction,Fraction of surface covered by vegetation,fraction,Yes,No,No,No,No,No,No,0,1,0.01,0,-9999
LAI,Leaf area index,Leaf area index,m2 m-2,Yes,No,No,No,No,No,No,0,20,0.1,0,-9999
SAI,Stem area index,Stem area index,m2 m-2,Yes,No,No,No,No,No,No,0,20,0.1,0,-9999
SWFORC,Shortwave forcing,Shortwave radiation forcing,W m-2,Yes,No,No,No,No,No,No,-1000,3000,0.1,0,-9999
COSZ,Cosine of zenith angle,Cosine of zenith angle,-,Yes,No,No,No,No,No,No,-1,1,0.01,0,-9999
LWFORC,Longwave forcing,Longwave radiation forcing,W m-2,Yes,No,No,No,No,No,No,-1500,1500,0.1,0,-9999
RAINRATE,Precipitation rate,Precipitation in model timestep,mm s-1,Yes,No,No,No,No,No,No,0,100,0.000001,0,-9999
EMISS,Grid emissivity,Emissivity: grid-average,-,Yes,No,No,No,No,No,No,0,1,0.01,0,-9999
